Title,Type,Availability,MSRP Currency,MSRP,Show Price Currency,Show Price,Publisher,Location,Priority,Notes,Thumbs,BGGId,BGGVersionId,Mfg Product Code,Release Date,Override Release Date,Events
Chronicles of Avel,Standalone,For Sale,N/A,N/A,N/A,N/A,Rebel Studio,815,N/A,N/A,22,347137,579851,,2022-05-06,,
San Francisco,Standalone,For Sale,N/A,N/A,N/A,N/A,Rebel Studio,815,N/A,N/A,37,357271,600698,,2022-06-00,,
Ecosystem: Coral Reef,Standalone,Demo,N/A,N/A,N/A,N/A,Genius Games,,N/A,N/A,21,359406,604610,GOT 1014,2022-07-01,,
Power Failure,Standalone,For Sale,USD,15,N/A,N/A,Artana,Genius Games 1249,N/A,N/A,11,330478,549931,AAX6002,2021-08-04,,
First in Flight,Standalone,Demo,N/A,N/A,N/A,N/A,Artana,Genius Games 1249,N/A,N/A,27,361788,611190,,0000-00-00,,
Last Aurora: Frozen Steel,Expansion,For Sale,USD,20,N/A,N/A,Ares Games,641,N/A,N/A,8,334710,594521,,2022-02-00,,
Orconomics (Second Edition),Standalone,For Sale,USD,40,N/A,N/A,Ares Games,641,N/A,N/A,10,283850,463275,E005-2,2022-08-00,,
The Thing: Norwegian Outpost,Expansion,For Sale,USD,45,N/A,N/A,Ares Games,641,N/A,N/A,9,321016,529261,,2022-05-00,,
The Shadow Planet: The Board Game,Standalone,For Sale,USD,60,N/A,N/A,Galakta,Ares 641,N/A,N/A,14,292509,478089,,2022-11-00,,
Star Scrappers: Cave-in,Standalone,For Sale,USD,40,N/A,N/A,Hexy Studio,Ares 641,N/A,N/A,4,228183,356683,,2018-01-00,,
Star Scrappers: Orbital,Standalone,For Sale,USD,40,N/A,N/A,Hexy Studio,Ares 641,N/A,N/A,4,284306,0,,,,
Fitna: The Global War in the Middle East,Standalone,For Sale,USD,68,N/A,N/A,Nuts! Publishing,Ares 641,N/A,N/A,7,253696,407288,,2020-06-00,,
Terra Mystica: Big Box,Standalone,For Sale,USD,150,N/A,N/A,Capstone Games,459,N/A,N/A,13,356238,602819,TM-BIGBOX,2022-05-08,,
Terra Mystica: Automa Solo Box,Expansion,For Sale,USD,20,N/A,N/A,Capstone Games,459,N/A,N/A,19,349169,602818,TM-SOLO,2022-05-03,,
Ark Nova,Standalone,For Sale,USD,75,N/A,N/A,Capstone Games,459,N/A,N/A,87,342942,571944,,2022-04-19,,
The Red Burnoose: Algeria 1857,Standalone,For Sale,USD,65,N/A,N/A,Hit 'Em With a Shoe,2660,N/A,N/A,11,339165,564657,,0000-00-00,Q3 2022,
Dirt Dog,Standalone,For Sale,USD,20,N/A,N/A,Hit 'Em With a Shoe,2660,N/A,N/A,4,318577,525050,,2021-08-00,,
White Hat,Standalone,For Sale,USD,29,N/A,N/A,Dragon Dawn Productions,,N/A,N/A,4,351855,588783,,2022-09-00,,
Cryptid: Urban Legends,Standalone,For Sale,GBP,20,N/A,N/A,Osprey Games,2744,N/A,N/A,11,343274,572615,,2022-04-28,,
Crescent Moon,Standalone,For Sale,GBP,65,N/A,N/A,Osprey Games,2744,N/A,N/A,45,348073,581781,,2022-05-26,,
